                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    385,                  1.213,                 0.5419,                0.81509,                0.82465,                0.61818,                0.74257,                0.39973,                 1.4318,                0.71974,                0.83215,              0.0017466,              0.0017466,              0.0017466
                    386,                 1.3083,                0.57695,                0.82772,                0.80181,                0.65455,                0.75293,                0.39732,                 1.4274,                0.69146,                0.83116,              0.0017459,              0.0017459,              0.0017459
                    387,                 1.2595,                0.55357,                0.83086,                 0.8219,                0.66667,                0.76032,                0.38095,                 1.4747,                0.69096,                0.83735,              0.0017452,              0.0017452,              0.0017452
                    388,                 1.2375,                 0.6123,                0.82566,                0.88512,                0.64848,                0.77523,                 0.3889,                 1.4991,                0.69002,                0.83597,              0.0017446,              0.0017446,              0.0017446
                    389,                 1.2209,                0.59075,                0.84345,                0.87253,                0.66376,                0.77787,                0.41773,                 1.4233,                0.68515,                0.83309,              0.0017439,              0.0017439,              0.0017439
                    390,                 1.1646,                0.57395,                 0.8334,                  0.897,                0.69091,                0.77983,                0.40516,                 1.4563,                0.72445,                0.83878,              0.0017433,              0.0017433,              0.0017433
                    391,                 1.2887,                0.61471,                0.83683,                0.88254,                0.66061,                0.76462,                0.39996,                 1.5142,                0.71489,                0.83944,              0.0017426,              0.0017426,              0.0017426
                    392,                 1.2246,                0.57904,                0.82787,                0.86299,                0.66061,                0.74893,                0.38901,                  1.512,                0.68675,                0.83633,              0.0017419,              0.0017419,              0.0017419
                    393,                 1.1871,                0.58123,                0.82457,                0.85547,                0.67879,                0.74548,                0.37321,                 1.5428,                0.67889,                0.83754,              0.0017413,              0.0017413,              0.0017413
                    394,                 1.1321,                0.59533,                0.82292,                0.89088,                0.68485,                0.76914,                0.41618,                 1.3788,                0.64212,                 0.8302,              0.0017406,              0.0017406,              0.0017406
                    395,                  1.262,                0.56753,                0.82523,                0.88755,                0.67273,                0.76913,                0.41901,                 1.3722,                0.63952,                0.83256,                0.00174,                0.00174,                0.00174
                    396,                 1.2392,                0.56425,                0.83758,                0.86665,                0.68485,                0.76238,                0.40243,                 1.4132,                0.64329,                0.83465,              0.0017393,              0.0017393,              0.0017393
                    397,                 1.2278,                0.56379,                0.80579,                0.86913,                0.68423,                0.76622,                 0.3646,                 1.5561,                0.67465,                 0.8427,              0.0017386,              0.0017386,              0.0017386
                    398,                 1.2354,                0.54485,                0.82182,                0.90795,                0.64242,                0.75803,                0.40585,                 1.4342,                0.64296,                0.83122,               0.001738,               0.001738,               0.001738
                    399,                 1.1676,                0.53493,                 0.7963,                0.85432,                0.65455,                0.75909,                0.42885,                 1.3821,                0.62962,                0.82566,              0.0017373,              0.0017373,              0.0017373
                    400,                  1.196,                0.55048,                0.82368,                0.88435,                0.66061,                0.77211,                0.41603,                 1.3879,                0.62919,                0.83356,              0.0017367,              0.0017367,              0.0017367
                    401,                 1.1971,                0.55386,                0.81568,                0.91327,                0.65455,                0.76525,                0.37916,                 1.5442,                0.67424,                0.84809,               0.001736,               0.001736,               0.001736
                    402,                 1.3541,                0.62542,                0.82353,                0.93381,                0.64848,                0.79063,                0.39487,                 1.4958,                0.66391,                0.84416,              0.0017353,              0.0017353,              0.0017353
                    403,                 1.1766,                  0.553,                0.84649,                 0.8754,                0.69091,                0.80655,                0.43155,                 1.4423,                0.66889,                0.84807,              0.0017347,              0.0017347,              0.0017347
                    404,                 1.1945,                0.55248,                0.83238,                0.91921,                0.68953,                0.79814,                0.42726,                 1.4424,                0.68683,                 0.8558,               0.001734,               0.001734,               0.001734
                    405,                 1.1484,                0.56391,                0.83521,                0.89005,                0.68685,                0.79338,                0.42021,                 1.4335,                0.66209,                0.85553,              0.0017334,              0.0017334,              0.0017334
                    406,                 1.1521,                0.57179,                0.81634,                0.90587,                0.70909,                0.78702,                0.41631,                 1.4188,                0.68052,                0.85176,              0.0017327,              0.0017327,              0.0017327
                    407,                 1.2649,                0.56171,                0.82442,                 0.8888,                0.68485,                0.77702,                  0.409,                 1.4509,                  0.696,                0.85394,               0.001732,               0.001732,               0.001732
                    408,                 1.1361,                0.55278,                0.82676,                0.87571,                0.67273,                0.77514,                 0.4161,                 1.4279,                0.67447,                0.84857,              0.0017314,              0.0017314,              0.0017314
                    409,                 1.2866,                0.56419,                0.82962,                0.93672,                0.64848,                0.78046,                0.42192,                 1.4073,                0.64791,                0.85658,              0.0017307,              0.0017307,              0.0017307
                    410,                 1.1394,                0.53032,                0.83383,                0.92498,                 0.6303,                 0.7677,                0.39309,                 1.4824,                0.64081,                0.86633,              0.0017301,              0.0017301,              0.0017301
                    411,                 1.1936,                0.56205,                0.80741,                0.95489,                0.64147,                0.78979,                 0.3963,                 1.5215,                0.64114,                0.85576,              0.0017294,              0.0017294,              0.0017294
                    412,                 1.1459,                0.54394,                0.83654,                0.91694,                0.66904,                0.79194,                0.42424,                 1.4733,                0.65169,                0.84995,              0.0017287,              0.0017287,              0.0017287
                    413,                 1.1633,                0.54921,                0.81961,                0.93392,                0.68519,                0.80732,                 0.4218,                 1.4689,                 0.6566,                0.85306,              0.0017281,              0.0017281,              0.0017281
                    414,                 1.2116,                0.54099,                0.82929,                 0.8911,                0.66667,                0.76881,                0.39998,                  1.556,                0.68026,                0.85335,              0.0017274,              0.0017274,              0.0017274
                    415,                 1.2169,                 0.5801,                0.82622,                0.84167,                0.70303,                0.78552,                0.41049,                 1.5331,                0.66162,                0.84394,              0.0017268,              0.0017268,              0.0017268
                    416,                 1.1057,                0.54444,                0.80497,                0.82554,                0.71695,                0.78305,                 0.4129,                 1.4804,                0.64145,                0.84151,              0.0017261,              0.0017261,              0.0017261
                    417,                 1.1319,                 0.5441,                0.81954,                0.78778,                0.69743,                0.77456,                0.39958,                 1.5244,                0.67981,                  0.845,              0.0017254,              0.0017254,              0.0017254
                    418,                 1.3211,                0.59846,                0.83072,                0.81154,                0.65455,                0.74111,                0.37324,                 1.5592,                0.67131,                0.84395,              0.0017248,              0.0017248,              0.0017248
                    419,                 1.2421,                0.54208,                0.81786,                0.83856,                0.69091,                0.76639,                0.38829,                 1.4623,                0.66192,                0.83976,              0.0017241,              0.0017241,              0.0017241
                    420,                 1.2201,                0.57915,                 0.8333,                0.84147,                0.70775,                0.77071,                0.40427,                 1.4593,                0.67212,                0.83738,              0.0017235,              0.0017235,              0.0017235
                    421,                 1.2074,                0.57546,                0.81492,                0.86962,                0.68719,                0.76108,                0.38184,                 1.5588,                0.68038,                0.84285,              0.0017228,              0.0017228,              0.0017228
                    422,                 1.2456,                0.57355,                0.80799,                0.88199,                0.67273,                0.75608,                0.35994,                 1.5893,                0.68869,                0.84928,              0.0017221,              0.0017221,              0.0017221
                    423,                 1.1717,                0.54094,                0.82832,                0.87348,                0.67879,                0.76238,                0.40294,                 1.4522,                0.67282,                0.84202,              0.0017215,              0.0017215,              0.0017215
                    424,                 1.2666,                0.55251,                0.83882,                0.87035,                0.65098,                0.75964,                0.41395,                 1.4289,                 0.7084,                0.84861,              0.0017208,              0.0017208,              0.0017208
                    425,                 1.2208,                0.58488,                0.84013,                0.84446,                0.65808,                0.76173,                0.41342,                 1.4222,                0.70689,                0.85035,              0.0017202,              0.0017202,              0.0017202
                    426,                 1.1155,                0.56528,                0.81025,                0.85019,                0.67273,                0.76101,                0.39909,                  1.463,                0.64837,                0.84912,              0.0017195,              0.0017195,              0.0017195
                    427,                  1.127,                0.51306,                0.83451,                0.92987,                0.66061,                0.76185,                0.40891,                 1.4377,                0.61886,                0.84485,              0.0017188,              0.0017188,              0.0017188
                    428,                 1.1519,                0.52824,                0.80864,                 0.8751,                0.69697,                 0.7771,                0.41711,                 1.4536,                0.64107,                 0.8445,              0.0017182,              0.0017182,              0.0017182
                    429,                 1.1405,                0.55218,                0.82232,                0.89249,                0.68485,                0.79231,                0.40737,                 1.5054,                0.67431,                0.85464,              0.0017175,              0.0017175,              0.0017175
                    430,                 1.1664,                0.54777,                0.80265,                0.88822,                0.69697,                0.80322,                0.40786,                 1.5202,                 0.6802,                0.85271,              0.0017169,              0.0017169,              0.0017169
                    431,                 1.1529,                0.51734,                0.83071,                0.82707,                 0.6667,                0.77041,                0.40108,                 1.5269,                0.66458,                 0.8609,              0.0017162,              0.0017162,              0.0017162
                    432,                 1.1519,                0.54644,                0.82857,                0.82186,                0.67879,                0.76881,                0.40335,                 1.4928,                0.66045,                  0.857,              0.0017155,              0.0017155,              0.0017155
                    433,                 1.1699,                0.55805,                 0.8302,                0.82976,                0.69091,                0.77955,                0.40718,                 1.4925,                0.69201,                0.85361,              0.0017149,              0.0017149,              0.0017149
                    434,                   1.16,                0.53903,                 0.8461,                0.81909,                0.68599,                0.77457,                0.39399,                  1.522,                0.72588,                0.84963,              0.0017142,              0.0017142,              0.0017142
                    435,                 1.1691,                 0.5565,                0.83539,                0.86718,                0.63636,                0.75112,                0.39115,                 1.4662,                0.74907,                0.84614,              0.0017136,              0.0017136,              0.0017136
                    436,                  1.124,                 0.5223,                0.82515,                0.88669,                0.61655,                 0.7403,                0.38372,                 1.5028,                0.72388,                0.84142,              0.0017129,              0.0017129,              0.0017129
                    437,                 1.3575,                0.62204,                0.84851,                0.79975,                0.68485,                0.76635,                0.38503,                 1.5298,                0.70887,                0.84049,              0.0017122,              0.0017122,              0.0017122
                    438,                 1.1588,                0.54757,                0.78869,                0.83059,                0.71515,                0.78094,                0.41496,                  1.452,                0.66387,                0.83937,              0.0017116,              0.0017116,              0.0017116
                    439,                   1.18,                0.60278,                0.85227,                0.82729,                0.72121,                0.78759,                0.41053,                 1.4203,                0.65089,                0.83943,              0.0017109,              0.0017109,              0.0017109
                    440,                 1.0943,                0.52317,                0.82612,                0.82643,                0.69256,                0.77008,                0.41399,                 1.4221,                0.66251,                 0.8519,              0.0017103,              0.0017103,              0.0017103
                    441,                 1.1912,                0.59987,                0.83469,                0.78831,                0.72121,                0.75959,                0.39633,                 1.4639,                0.66197,                0.85733,              0.0017096,              0.0017096,              0.0017096
                    442,                 1.1827,                0.54013,                0.82583,                0.86053,                0.66667,                0.75689,                0.38909,                 1.4954,                0.65856,                0.85103,              0.0017089,              0.0017089,              0.0017089
                    443,                 1.1713,                0.55595,                0.83431,                0.85182,                0.66196,                0.75655,                0.39183,                 1.4948,                0.65534,                0.85319,              0.0017083,              0.0017083,              0.0017083
                    444,                 1.2387,                0.59669,                0.85262,                0.86834,                0.65455,                0.76368,                 0.3812,                 1.5167,                0.65039,                0.85539,              0.0017076,              0.0017076,              0.0017076
                    445,                 1.2796,                0.59908,                0.84035,                0.84933,                0.68326,                0.75993,                0.38821,                 1.5432,                0.66939,                0.85195,               0.001707,               0.001707,               0.001707
                    446,                 1.2231,                0.55861,                0.86185,                0.82957,                0.67849,                0.76097,                0.40706,                 1.4483,                0.66449,                0.84026,              0.0017063,              0.0017063,              0.0017063
                    447,                 1.2225,                 0.5708,                0.82286,                0.82026,                0.69091,                0.76593,                0.41293,                  1.393,                0.65191,                0.83237,              0.0017056,              0.0017056,              0.0017056
                    448,                 1.1374,                0.56989,                0.81832,                0.81446,                0.69169,                 0.7557,                0.39454,                 1.3984,                0.66536,                0.83119,               0.001705,               0.001705,               0.001705
                    449,                 1.2708,                0.58759,                0.81706,                0.88561,                0.64242,                0.75239,                0.39238,                 1.4622,                0.67832,                0.83529,              0.0017043,              0.0017043,              0.0017043
                    450,                 1.1518,                 0.5466,                0.82039,                0.85685,                0.65301,                0.72805,                0.38783,                   1.46,                0.67799,                0.84115,              0.0017037,              0.0017037,              0.0017037
                    451,                 1.1674,                0.55672,                0.80528,                0.85893,                0.67273,                0.74625,                0.40309,                  1.433,                0.67632,                0.84423,               0.001703,               0.001703,               0.001703
                    452,                 1.1393,                0.52814,                0.82465,                  0.825,                0.65717,                0.75049,                0.39635,                 1.4834,                0.71027,                0.84766,              0.0017023,              0.0017023,              0.0017023
                    453,                 1.0888,                0.53654,                0.82277,                0.84233,                0.64848,                0.73897,                0.38723,                 1.5205,                0.72243,                0.85175,              0.0017017,              0.0017017,              0.0017017
                    454,                 1.2018,                 0.5253,                0.82945,                0.86262,                0.67273,                0.78026,                 0.4049,                 1.4854,                0.67614,                0.84609,               0.001701,               0.001701,               0.001701
                    455,                 1.1441,                0.54444,                 0.7952,                 0.8585,                0.69697,                0.78174,                0.41386,                  1.464,                0.65755,                0.83741,              0.0017004,              0.0017004,              0.0017004
                    456,                 1.1645,                0.53569,                0.82196,                0.90087,                0.66092,                0.77131,                0.40895,                 1.4432,                 0.6594,                0.84004,              0.0016997,              0.0016997,              0.0016997
                    457,                 1.2208,                0.58811,                0.83227,                0.93016,                0.64576,                0.74658,                0.38706,                  1.513,                0.67625,                0.84284,               0.001699,               0.001699,               0.001699
                    458,                 1.2033,                0.56254,                0.82384,                0.88128,                0.67483,                0.77877,                0.41274,                 1.4756,                0.67778,                0.84487,              0.0016984,              0.0016984,              0.0016984
                    459,                 1.2302,                 0.5612,                0.83142,                0.86537,                0.67879,                0.75652,                0.40978,                 1.4383,                 0.6536,                 0.8412,              0.0016977,              0.0016977,              0.0016977
                    460,                 1.1592,                0.53748,                0.82934,                 0.8752,                0.66061,                0.75698,                 0.4135,                 1.4411,                0.64179,                0.84522,              0.0016971,              0.0016971,              0.0016971
                    461,                  1.141,                0.54062,                0.81489,                0.86839,                0.67981,                0.77166,                0.41597,                 1.4769,                 0.6694,                 0.8416,              0.0016964,              0.0016964,              0.0016964
                    462,                  1.109,                0.54627,                0.82694,                0.85465,                 0.6771,                0.77608,                0.42434,                 1.4254,                0.66493,                0.83498,              0.0016957,              0.0016957,              0.0016957
                    463,                 1.2759,                0.59341,                0.83683,                0.85621,                0.70303,                0.78314,                 0.4186,                 1.4253,                0.68836,                0.83469,              0.0016951,              0.0016951,              0.0016951
                    464,                 1.1517,                0.55729,                0.80814,                0.88932,                 0.6818,                0.77045,                0.39322,                 1.4523,                0.69194,                0.84374,              0.0016944,              0.0016944,              0.0016944
                    465,                 1.1249,                  0.531,                0.81138,                0.85072,                0.68485,                0.77031,                0.41782,                 1.4256,                0.66704,                0.84873,              0.0016938,              0.0016938,              0.0016938
                    466,                  1.191,                0.57627,                 0.8402,                0.89055,                0.69035,                0.77623,                0.43584,                 1.3984,                0.63083,                0.84855,              0.0016931,              0.0016931,              0.0016931
                    467,                 1.1146,                0.52806,                0.81989,                0.88958,                0.68355,                0.77828,                0.42953,                 1.3983,                0.62317,                0.84702,              0.0016924,              0.0016924,              0.0016924
                    468,                 1.2003,                0.53784,                0.81518,                0.81654,                0.70135,                0.78014,                0.42631,                 1.4085,                0.62831,                0.84822,              0.0016918,              0.0016918,              0.0016918
                    469,                 1.1246,                0.55885,                0.83504,                0.91321,                 0.6377,                0.77708,                0.41628,                 1.4224,                0.64019,                0.84715,              0.0016911,              0.0016911,              0.0016911
                    470,                  1.064,                0.52995,                0.80179,                0.89896,                0.67273,                0.77595,                0.41246,                 1.4632,                0.66415,                 0.8517,              0.0016905,              0.0016905,              0.0016905
                    471,                 1.0981,                0.54281,                0.83991,                 0.8748,                0.67273,                0.78398,                0.42307,                 1.4271,                0.69989,                0.84814,              0.0016898,              0.0016898,              0.0016898
                    472,                0.98398,                0.49892,                0.80026,                0.94548,                0.63067,                0.78034,                0.41017,                 1.4514,                0.70597,                0.84698,              0.0016891,              0.0016891,              0.0016891
                    473,                 1.1858,                0.55011,                0.80202,                0.88654,                0.63636,                0.76196,                0.38278,                 1.5548,                0.71656,                0.85333,              0.0016885,              0.0016885,              0.0016885
                    474,                 1.2326,                0.54634,                 0.8453,                0.89494,                0.63636,                0.77805,                0.40132,                 1.4913,                0.70249,                0.84969,              0.0016878,              0.0016878,              0.0016878
                    475,                  1.128,                0.54624,                0.83224,                0.85625,                0.64242,                0.77247,                0.41345,                 1.4567,                0.67886,                0.84631,              0.0016872,              0.0016872,              0.0016872
                    476,                 1.2044,                 0.5405,                 0.8162,                 0.8336,                0.66794,                0.77431,                0.39909,                 1.5458,                0.68064,                0.84693,              0.0016865,              0.0016865,              0.0016865
                    477,                 1.1758,                0.57679,                0.83621,                0.89587,                0.64848,                 0.7639,                0.38016,                 1.5716,                0.70952,                 0.8495,              0.0016858,              0.0016858,              0.0016858
                    478,                 1.1729,                0.53738,                0.82834,                0.84033,                0.66667,                0.76835,                0.40487,                 1.4575,                0.68222,                0.84622,              0.0016852,              0.0016852,              0.0016852
                    479,                 1.0825,                0.50944,                0.81609,                0.86226,                0.69091,                0.77222,                0.41937,                 1.4345,                0.66008,                0.84298,              0.0016845,              0.0016845,              0.0016845
                    480,                 1.0972,                0.54431,                0.81315,                0.87847,                0.65455,                0.76859,                0.42367,                 1.4157,                0.67658,                0.84542,              0.0016839,              0.0016839,              0.0016839
                    481,                 1.1516,                0.51343,                0.80484,                0.82921,                0.68485,                0.76644,                0.39876,                  1.504,                0.70801,                0.84971,              0.0016832,              0.0016832,              0.0016832
                    482,                 1.2364,                 0.5411,                0.82344,                0.84106,                 0.6735,                 0.7728,                0.41518,                 1.4823,                0.69791,                0.85029,              0.0016825,              0.0016825,              0.0016825
                    483,                 1.2647,                0.63206,                0.82652,                0.91781,                0.67683,                0.79782,                  0.431,                 1.4083,                0.66571,                0.84595,              0.0016819,              0.0016819,              0.0016819
                    484,                 1.1383,                0.55608,                0.81544,                0.90215,                0.67051,                0.78671,                0.41767,                 1.4089,                0.65715,                0.84139,              0.0016812,              0.0016812,              0.0016812
                    485,                 1.0411,                0.53268,                0.80667,                 0.8283,                0.71515,                0.78564,                0.42434,                  1.376,                0.66313,                0.83749,              0.0016806,              0.0016806,              0.0016806
                    486,                 1.1352,                0.52229,                0.81958,                0.84659,                0.72727,                0.79497,                0.41804,                  1.403,                0.68889,                0.83521,              0.0016799,              0.0016799,              0.0016799
                    487,                 1.1602,                0.53293,                0.82257,                0.84166,                0.72121,                0.78566,                0.40759,                 1.4331,                0.70655,                 0.8375,              0.0016792,              0.0016792,              0.0016792
                    488,                 1.1077,                0.50838,                0.82509,                0.83808,                0.72151,                0.77642,                0.39528,                 1.4736,                0.68384,                0.84525,              0.0016786,              0.0016786,              0.0016786
                    489,                 1.1392,                 0.5402,                0.82045,                0.90791,                0.67273,                0.78438,                0.41559,                 1.4643,                0.66984,                 0.8442,              0.0016779,              0.0016779,              0.0016779
                    490,                 1.2319,                0.53826,                0.80532,                0.84693,                0.68485,                 0.7826,                0.41842,                 1.4585,                0.72065,                0.83401,              0.0016773,              0.0016773,              0.0016773
                    491,                 1.1449,                0.57577,                0.83421,                0.87582,                0.66667,                0.79177,                0.41631,                 1.5017,                0.74125,                0.83341,              0.0016766,              0.0016766,              0.0016766
                    492,                 1.1439,                0.55231,                0.82118,                0.88096,                 0.6728,                0.79762,                0.41698,                 1.4838,                0.70887,                 0.8342,              0.0016759,              0.0016759,              0.0016759
                    493,                 1.2135,                0.56648,                0.80525,                0.87755,                0.70303,                0.80038,                0.41663,                 1.4364,                0.68596,                0.82699,              0.0016753,              0.0016753,              0.0016753
                    494,                 1.1174,                0.51949,                0.81802,                 0.8443,                0.70909,                0.78321,                0.42498,                 1.4003,                0.66255,                0.82522,              0.0016746,              0.0016746,              0.0016746
                    495,                 1.0973,                0.54915,                0.84031,                0.82684,                0.69458,                0.76317,                0.40409,                  1.421,                0.65821,                0.82447,               0.001674,               0.001674,               0.001674
                    496,                 1.1702,                0.57922,                0.80938,                0.84019,                0.69091,                0.78187,                0.39092,                 1.5241,                0.67865,                0.83247,              0.0016733,              0.0016733,              0.0016733
                    497,                 1.1648,                0.54373,                0.80463,                0.86985,                0.68864,                0.79663,                0.42478,                 1.4415,                0.65786,                0.82854,              0.0016726,              0.0016726,              0.0016726
                    498,                 1.1132,                0.53493,                0.81217,                0.88867,                0.67731,                 0.8035,                0.44255,                  1.395,                0.64146,                0.82285,               0.001672,               0.001672,               0.001672
                    499,                 1.1139,                0.53077,                0.81455,                0.83828,                0.69114,                0.79615,                0.41577,                 1.4539,                 0.6586,                0.82762,              0.0016713,              0.0016713,              0.0016713
                    500,                 1.0933,                0.51564,                0.81588,                0.88326,                0.68783,                0.79668,                0.40757,                 1.4742,                0.65925,                0.82745,              0.0016707,              0.0016707,              0.0016707
                    501,                 1.0521,                0.53678,                0.81156,                0.88409,                0.69091,                0.79763,                0.41934,                 1.3992,                 0.6503,                0.82529,                0.00167,                0.00167,                0.00167
                    502,                 1.0606,                0.53433,                0.80697,                0.89326,                0.71007,                 0.8057,                0.43989,                 1.3563,                0.62071,                0.82486,              0.0016693,              0.0016693,              0.0016693
                    503,                 1.0791,                0.52489,                0.82616,                 0.8785,                0.71515,                 0.7936,                 0.4239,                  1.418,                0.61413,                0.82906,              0.0016687,              0.0016687,              0.0016687
                    504,                 1.1098,                0.52231,                0.82316,                0.90517,                0.69418,                0.79599,                0.41379,                 1.4928,                0.63265,                0.83485,               0.001668,               0.001668,               0.001668
                    505,                 1.1255,                0.53047,                0.80718,                0.91452,                0.67879,                0.79202,                0.42306,                 1.4539,                0.64061,                0.83926,              0.0016674,              0.0016674,              0.0016674
                    506,                 1.1292,                0.56539,                 0.8161,                0.90254,                0.69697,                0.79696,                0.41246,                 1.4353,                0.65597,                 0.8451,              0.0016667,              0.0016667,              0.0016667
                    507,                 1.0887,                0.52276,                0.80419,                0.91114,                0.68362,                0.77704,                0.41368,                 1.4227,                0.64931,                0.84024,               0.001666,               0.001666,               0.001666
                    508,                 1.1251,                0.50733,                0.80095,                0.87708,                0.68485,                0.78395,                0.42397,                 1.3508,                0.64488,                0.83179,              0.0016654,              0.0016654,              0.0016654
                    509,                 1.1919,                0.55013,                0.82341,                0.85898,                0.70139,                 0.7821,                0.41821,                 1.3607,                0.66556,                0.83142,              0.0016647,              0.0016647,              0.0016647
                    510,                 1.1003,                0.52062,                0.83079,                0.85843,                0.69822,                0.77829,                0.41146,                 1.4037,                0.68351,                0.83781,              0.0016641,              0.0016641,              0.0016641
                    511,                 1.1139,                0.51065,                0.82085,                 0.8564,                0.65061,                0.75663,                0.40312,                 1.4195,                0.69669,                0.84428,              0.0016634,              0.0016634,              0.0016634
                    512,                 1.1143,                0.52506,                0.80681,                0.83621,                0.64979,                0.75324,                0.40732,                  1.414,                0.65697,                0.84654,              0.0016627,              0.0016627,              0.0016627
                    513,                 1.1508,                0.53575,                0.81724,                0.81024,                0.66667,                0.75718,                0.40853,                 1.4495,                0.64562,                0.84594,              0.0016621,              0.0016621,              0.0016621
                    514,                 1.1179,                0.54962,                0.80985,                0.83667,                0.64848,                0.74816,                0.39211,                 1.4983,                0.64824,                0.84839,              0.0016614,              0.0016614,              0.0016614
                    515,                 1.0795,                0.50573,                0.81261,                0.89878,                0.64578,                 0.7621,                0.40074,                  1.468,                0.67032,                 0.8422,              0.0016608,              0.0016608,              0.0016608
                    516,                 1.0717,                0.53371,                0.82864,                0.90961,                0.67092,                0.78107,                0.41272,                 1.4599,                0.67448,                0.84414,              0.0016601,              0.0016601,              0.0016601
                    517,                 1.0548,                0.51384,                0.79579,                 0.8834,                0.69697,                0.79278,                 0.4166,                 1.4534,                0.67378,                0.84652,              0.0016594,              0.0016594,              0.0016594
                    518,                 1.1509,                0.55913,                0.80995,                0.87696,                0.69114,                0.79167,                0.42223,                 1.4498,                0.68076,                0.84336,              0.0016588,              0.0016588,              0.0016588
