                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.993,                 1.0236,                0.88707,                0.69328,                0.56165,                0.59302,                0.26993,                 1.7517,                 1.0234,                0.92223,              0.0019782,              0.0019782,              0.0019782
                     35,                 1.9662,                 1.1307,                0.92635,                0.73076,                0.57573,                0.61492,                0.28823,                  1.681,                0.95691,                 0.9092,              0.0019776,              0.0019776,              0.0019776
                     36,                 1.7955,                 1.0306,                0.93429,                0.77449,                0.48485,                 0.5541,                0.22831,                 1.9938,                0.97214,                0.93633,              0.0019769,              0.0019769,              0.0019769
                     37,                  1.861,                  1.051,                0.89005,                0.79432,                0.47273,                0.58174,                0.27407,                 1.8294,                 0.9194,                0.92683,              0.0019762,              0.0019762,              0.0019762
                     38,                  1.703,                0.94849,                0.91797,                0.76637,                0.52727,                0.58958,                0.28606,                 1.6649,                0.85881,                0.91393,              0.0019756,              0.0019756,              0.0019756
                     39,                 1.7214,                0.87608,                0.90646,                0.72061,                0.56364,                0.61443,                0.29604,                 1.7032,                 0.9204,                0.91637,              0.0019749,              0.0019749,              0.0019749
                     40,                  1.713,                0.93759,                   0.94,                 0.7644,                0.55758,                0.62994,                0.24916,                 1.8787,                0.93115,                0.91719,              0.0019743,              0.0019743,              0.0019743
                     41,                 1.7595,                0.92455,                0.90703,                0.79479,                0.57576,                0.64087,                0.29925,                 1.7232,                0.90271,                0.91028,              0.0019736,              0.0019736,              0.0019736
                     42,                 1.6665,                0.98284,                0.87614,                0.78996,                0.56985,                0.65736,                0.33936,                 1.6677,                  0.861,                  0.907,              0.0019729,              0.0019729,              0.0019729
                     43,                 1.6391,                0.89832,                 0.8872,                0.84195,                0.54885,                0.65403,                0.31575,                  1.776,                0.90908,                0.90845,              0.0019723,              0.0019723,              0.0019723
                     44,                 1.6856,                0.88233,                0.88648,                0.73953,                0.60225,                0.65732,                0.31945,                  1.687,                0.84098,                0.90051,              0.0019716,              0.0019716,              0.0019716
                     45,                 1.6987,                0.87133,                 0.8953,                0.88217,                0.51515,                0.66938,                 0.3385,                 1.6088,                0.84408,                0.89454,               0.001971,               0.001971,               0.001971
                     46,                 1.7109,                0.89892,                 0.8904,                0.73826,                 0.5697,                0.65043,                0.31367,                 1.7458,                0.90138,                0.90316,              0.0019703,              0.0019703,              0.0019703
                     47,                 1.6977,                0.84251,                0.92509,                0.83825,                0.53939,                0.64982,                0.29322,                 1.8495,                0.92223,                0.91415,              0.0019696,              0.0019696,              0.0019696
                     48,                 1.6928,                 0.8595,                0.91107,                0.76991,                0.54545,                0.62354,                 0.2936,                  1.741,                0.91292,                0.90633,               0.001969,               0.001969,               0.001969
                     49,                 1.7085,                0.91903,                0.90054,                0.71643,                    0.6,                0.64698,                0.29389,                 1.7509,                0.88455,                 0.8952,              0.0019683,              0.0019683,              0.0019683
                     50,                 1.6369,                0.90079,                0.88198,                0.81241,                0.52497,                0.64325,                0.29908,                 1.7135,                0.91678,                0.88501,              0.0019677,              0.0019677,              0.0019677
                     51,                 1.7849,                0.89807,                0.90302,                0.79418,                0.54545,                0.66023,                0.29865,                 1.7805,                0.87456,                0.89282,               0.001967,               0.001967,               0.001967
                     52,                 1.6658,                 0.8545,                0.88564,                0.83401,                0.56364,                0.66704,                0.32398,                 1.7252,                0.84035,                0.88804,              0.0019663,              0.0019663,              0.0019663
                     53,                 1.8951,                0.97774,                 0.9111,                  0.839,                0.51515,                0.65327,                0.31965,                 1.6676,                0.80285,                 0.8903,              0.0019657,              0.0019657,              0.0019657
                     54,                 1.8906,                0.89866,                0.91287,                0.65332,                 0.6303,                0.64879,                0.30845,                 1.7209,                0.81138,                0.90127,               0.001965,               0.001965,               0.001965
                     55,                 1.8033,                0.86833,                0.90274,                0.73496,                0.61212,                0.64384,                 0.2881,                 1.7924,                0.86656,                0.90901,              0.0019644,              0.0019644,              0.0019644
                     56,                 1.6697,                0.84206,                0.90457,                 0.7675,                0.56364,                0.64227,                0.29071,                 1.7373,                0.88317,                0.90025,              0.0019637,              0.0019637,              0.0019637
                     57,                 1.8986,                 0.9153,                 0.9253,                0.73037,                0.58182,                 0.6168,                 0.2889,                  1.689,                0.83991,                0.90741,               0.001963,               0.001963,               0.001963
                     58,                 1.7145,                0.85774,                0.91325,                0.77963,                0.56364,                0.62464,                 0.2886,                 1.8492,                0.93283,                0.93047,              0.0019624,              0.0019624,              0.0019624
                     59,                 1.6187,                 0.8574,                0.90241,                  0.851,                0.57576,                0.65919,                0.32666,                 1.7553,                0.85395,                0.91284,              0.0019617,              0.0019617,              0.0019617
                     60,                 1.7081,                0.86914,                0.88312,                0.81901,                0.52727,                0.63667,                0.28379,                 1.7067,                 0.8477,                0.89269,              0.0019611,              0.0019611,              0.0019611
                     61,                 1.7766,                0.84257,                0.87863,                0.84295,                0.54545,                0.64988,                0.29188,                 1.7252,                0.85581,                0.89571,              0.0019604,              0.0019604,              0.0019604
                     62,                 1.5211,                0.80959,                0.86848,                0.77686,                0.52121,                0.63447,                0.28824,                 1.7442,                0.94046,                0.90391,              0.0019597,              0.0019597,              0.0019597
                     63,                 1.6201,                0.82518,                0.87743,                0.79909,                0.52121,                  0.611,                0.31267,                 1.6385,                0.96073,                0.89162,              0.0019591,              0.0019591,              0.0019591
                     64,                 1.9668,                0.88157,                0.91362,                0.71333,                0.56364,                0.62891,                0.25905,                 1.8717,                0.92007,                0.90295,              0.0019584,              0.0019584,              0.0019584
                     65,                 1.7262,                 0.8295,                0.88373,                0.86081,                0.56225,                0.67443,                0.31354,                 1.7155,                0.89033,                0.88958,              0.0019578,              0.0019578,              0.0019578
                     66,                 1.7449,                0.88343,                0.86814,                0.83042,                0.53939,                0.67088,                0.36485,                 1.5422,                0.87697,                0.87007,              0.0019571,              0.0019571,              0.0019571
                     67,                  1.525,                 0.7791,                0.86002,                0.76982,                0.56754,                0.64635,                0.31281,                 1.6758,                0.89718,                 0.8844,              0.0019564,              0.0019564,              0.0019564
                     68,                 1.6918,                0.83736,                0.88641,                0.67003,                0.57576,                0.62634,                0.29287,                 1.7424,                0.90032,                0.90166,              0.0019558,              0.0019558,              0.0019558
                     69,                 1.6626,                0.82989,                0.88999,                0.79375,                0.59394,                0.66519,                0.36026,                   1.56,                0.87458,                0.89073,              0.0019551,              0.0019551,              0.0019551
                     70,                 1.6628,                0.88287,                 0.9021,                0.85895,                 0.6303,                0.71472,                0.34488,                 1.6623,                  0.877,                0.89355,              0.0019545,              0.0019545,              0.0019545
                     71,                 1.5537,                0.77694,                0.89907,                0.83592,                0.61753,                0.68076,                0.31347,                 1.7523,                0.84873,                0.89177,              0.0019538,              0.0019538,              0.0019538
                     72,                 1.6144,                0.77685,                0.88019,                0.81253,                0.59394,                0.64964,                0.29821,                  1.777,                0.87107,                0.87924,              0.0019531,              0.0019531,              0.0019531
                     73,                 1.6438,                0.77512,                0.87643,                0.80009,                0.58214,                0.64404,                0.30706,                 1.6826,                0.85051,                0.87902,              0.0019525,              0.0019525,              0.0019525
                     74,                 1.5481,                0.77408,                0.87339,                0.81162,                0.53939,                0.64326,                0.30527,                 1.7867,                0.84273,                0.90382,              0.0019518,              0.0019518,              0.0019518
                     75,                 1.5662,                0.85972,                0.90251,                0.80817,                0.59394,                0.68587,                0.33895,                 1.7216,                0.81643,                0.90228,              0.0019512,              0.0019512,              0.0019512
                     76,                 1.6222,                0.81335,                0.89923,                 0.7814,                 0.6303,                0.68464,                0.33946,                 1.6366,                0.80382,                 0.8976,              0.0019505,              0.0019505,              0.0019505
                     77,                 1.7321,                0.81071,                0.92055,                0.87061,                0.56364,                0.69058,                 0.3314,                 1.6857,                0.79551,                 0.9037,              0.0019498,              0.0019498,              0.0019498
                     78,                 1.5826,                0.77534,                0.90857,                0.88506,                0.56005,                0.68932,                0.30889,                 1.8078,                0.83037,                0.91538,              0.0019492,              0.0019492,              0.0019492
                     79,                 1.6366,                0.80542,                0.88062,                0.91414,                0.53333,                0.69529,                0.33018,                 1.7863,                0.79716,                0.90869,              0.0019485,              0.0019485,              0.0019485
                     80,                 1.5911,                0.82885,                0.88368,                0.79153,                0.62131,                0.68661,                0.33996,                 1.6913,                0.77865,                0.90189,              0.0019479,              0.0019479,              0.0019479
                     81,                 1.6033,                0.86302,                 0.8883,                0.77312,                0.64023,                0.68862,                0.33186,                 1.5967,                0.79521,                0.87746,              0.0019472,              0.0019472,              0.0019472
                     82,                 1.6989,                0.78471,                0.88355,                0.86389,                0.53855,                0.67221,                0.32675,                 1.6062,                0.86617,                0.88348,              0.0019465,              0.0019465,              0.0019465
                     83,                 1.6412,                 0.8506,                0.89478,                0.88045,                0.53564,                0.66805,                0.31519,                 1.6952,                0.84659,                0.90173,              0.0019459,              0.0019459,              0.0019459
                     84,                 1.6194,                0.82464,                0.88063,                0.87786,                0.56627,                0.68688,                0.34606,                 1.6231,                0.78805,                 0.8878,              0.0019452,              0.0019452,              0.0019452
                     85,                 1.5669,                0.79147,                 0.8869,                0.85872,                0.58182,                0.69971,                0.33351,                 1.5751,                0.75663,                 0.8922,              0.0019446,              0.0019446,              0.0019446
                     86,                 1.5411,                0.75576,                0.85737,                 0.7629,                0.59394,                 0.6873,                0.31105,                    1.7,                0.82433,                0.89327,              0.0019439,              0.0019439,              0.0019439
                     87,                 1.6511,                0.77238,                0.87214,                0.81233,                0.61818,                0.73107,                0.35781,                 1.5746,                 0.7913,                0.88918,              0.0019432,              0.0019432,              0.0019432
                     88,                 1.6655,                0.75736,                0.89643,                0.89147,                0.60606,                0.72419,                0.37505,                 1.5635,                0.75561,                0.88769,              0.0019426,              0.0019426,              0.0019426
                     89,                 1.7255,                0.79324,                0.89632,                0.78924,                0.62424,                0.71215,                0.34056,                 1.7396,                0.84749,                0.89857,              0.0019419,              0.0019419,              0.0019419
                     90,                 1.8888,                0.86792,                0.91431,                0.76099,                0.51515,                0.58595,                0.24239,                 1.9582,                0.97357,                0.92457,              0.0019413,              0.0019413,              0.0019413
                     91,                 1.8786,                0.88049,                0.90819,                0.76279,                0.59394,                0.63004,                0.29081,                 1.7003,                0.95323,                0.89792,              0.0019406,              0.0019406,              0.0019406
                     92,                 1.7141,                0.81213,                0.88732,                0.86287,                0.53333,                0.66188,                0.31492,                 1.6218,                0.95967,                0.88756,              0.0019399,              0.0019399,              0.0019399
                     93,                 1.5733,                0.82262,                0.87387,                0.87034,                0.54545,                0.67509,                0.33195,                 1.6922,                0.89621,                0.88131,              0.0019393,              0.0019393,              0.0019393
                     94,                 1.5532,                0.75003,                0.86453,                0.84989,                0.54545,                0.66351,                0.30256,                 1.7499,                0.81928,                0.88648,              0.0019386,              0.0019386,              0.0019386
                     95,                 1.7183,                0.76816,                0.86315,                0.83208,                 0.5697,                0.67045,                0.35267,                 1.5528,                0.75726,                 0.8788,               0.001938,               0.001938,               0.001938
                     96,                 1.6232,                0.77406,                0.88136,                0.71619,                0.62706,                0.68248,                0.35648,                 1.5853,                0.75789,                0.87993,              0.0019373,              0.0019373,              0.0019373
                     97,                 1.5724,                0.75482,                0.88363,                0.90271,                0.58182,                0.71459,                0.34316,                 1.6536,                0.79455,                0.88436,              0.0019366,              0.0019366,              0.0019366
                     98,                 1.6809,                0.77486,                0.87381,                 0.8038,                 0.5697,                 0.6557,                0.27108,                 1.7796,                0.85988,                0.88491,               0.001936,               0.001936,               0.001936
